Source,Additional_Lng,f6,f16,f17,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,D1,D2,D3,y,Location_Available,Wind_D_Calm,Wind_D_Variable,Wind_D_Sin,Wind_D_Cos,Record_Delay_Time,is_holiday,has_sensitive_word,Address_Freq,Address_Mean
1,0.52677363,1.5770495,0.80953497,-1.1661028,-0.10587281,1.7933452,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-0.557404,-1.4168044,-0.018000772,0,0,-0.6857763,0.93959546
2,0.9221091,-0.687551,-0.07165845,0.10479722,-0.5325725,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,-1.4243248,-0.5195302,-0.06963341,0,0,-1.3753313,-0.9160699
1,-1.5757792,1.569799,0.7654753,0.82560617,-0.31922266,0.41238087,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0.055601574,0.114938535,0.5552435,0,0,0.5095552,0.963121
1,0.9149011,-0.6295463,1.5585493,0.44623303,-1.5993218,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0.055601574,0.114938535,0.20194614,0,0,-0.4534285,-1.1285126
1,-1.4719303,0.8689087,-1.1290905,-0.009014718,-0.9592722,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,1,0.055601574,0.114938535,-0.29852456,1,0,0.1471589,-1.6189843
2,0.6898349,-0.6633824,0.7214156,0.82560617,0.12881203,2.3006148,0,0,0,0,0,0,0,0,0,1,0,1,1,1,2,0,0,0,-1.077085,1.2872838,0.6219187,0,0,0.48619914,-1.8941617
1,1.0492637,0.12209806,1.3823106,-0.29354456,-1.5993218,-0.6422932,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,1,1,0,0.055601574,0.114938535,-0.29852456,0,0,-1.3753313,0.64873433
2,-1.5953585,-0.687551,-1.2172098,1.3377599,-0.13085394,-0.049569044,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,0,1,0,0.055601574,0.114938535,0.10681198,0,0,0.86760557,0.7635104
1,-1.3390282,0.40245417,-0.7325535,0.29448378,1.3875762,-0.6422932,0,0,0,1,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-0.557404,-1.4168044,-0.05459083,0,0,-0.36196643,-0.43629166
1,0.98101825,-0.5207875,0.010269153,0.07998828,-0.09907141,0.59760165,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,-0.11579012,-0.22969392,-0.0033535217,0,0,-1.1850281,-0.22812636
1,0.03894592,1.3474475,0.10458023,-0.16076396,0.3208269,-0.6422932,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,-1.4243248,0.74940723,0.4410012,0,0,-1.5910699,1.3373908
1,-1.5300429,2.0918415,1.206072,0.9014808,-0.6179125,0.4010308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,-1.5462592,0.114938535,0.2710607,0,1,-0.1301654,-0.56603855
